reaction;J
'1A25DHVITD3te';0
'2PGtr';0
'3DHLCAS';0
'3DHLCAt';0
'ACORNt';1
'ACRNtm';0
'ADNK3';0.532465468403347
'ADNK4';0.532465468403333
'AHCYSte';0.149199082155087
'ALDD21';1
'ARGCYSGLYr';0
'ARGCYSGLYt';0
'BILDGLCURtr';0
'BTNt4i';0
'BUTSMCT1';1,52E+08
'BUTt2r';1,27E+08
'C05463t2';0
'C100CPT1';0
'C10CRNtr';0
'C120CPT1';1
'C12DCACOT';1
'C181CPT1';0
'C4CRNtr';0
'C4tmc';0
'C6COAt';1
'C6CRNe';1
'CE1401te';0.149199082155087
'CLPNDCOAtx';1
'CRMte';0
'CYOOm3i';0
'CYSCYSr';0
'CYSCYSt';0
'Coqe';0
'DCMPtm';0
'DCMPtr';0
'DDECCRNtr';1
'DESAT18_10';1
'EX_1a25dhvitd3[e]';0
'EX_2pg[e]';0
'EX_3dhlchol[e]';0
'EX_CE1401[e]';0.149199082155087
'EX_HC00900[e]';0
'EX_HC02191[e]';0
'EX_HC02192[e]';0
'EX_HC02193[e]';0
'EX_ahcys[e]';0.149199082155087
'EX_ahdt[e]';0
'EX_amet[e]';1
'EX_argcysgly[e]';0
'EX_atp[e]';0.197803568301667
'EX_c10crn[e]';0
'EX_c4crn[e]';0
'EX_c6crn[e]';1
'EX_c8dc[e]';1
'EX_crm_hs[e]';0
'EX_cyscys[e]';0
'EX_dcmp[e]';0
'EX_ddecrn[e]';1
'EX_eicostet[e]';1
'EX_fad[e]';0
'EX_fdp[e]';0
'EX_forglu[e]';0
'EX_fum[e]';0
'EX_glcn[e]';0
'EX_glcur[e]';0
'EX_glyc3p[e]';0
'EX_glylyscys[e]';0
'EX_hdcecrn[e]';1
'EX_hxa[e]';0.999408680137018
'EX_hxcoa[e]';0
'EX_lnlccrn[e]';1
'EX_lpchol_hs[e]';0
'EX_lysargleu[e]';0
'EX_mlthf[e]';0
'EX_nh4[e]';0
'EX_ocdcea[e]';0
'EX_odecrn[e]';0
'EX_orot5p[e]';0
