reaction;J
'1A25DHVITD3te';0
'2PGtr';0.413608348697076
'3DHLCAS';0
'3DHLCAt';0
'ACRNtm';0
'ADNK3';0.232728396973731
'ADNK4';0.232728370523106
'AHCYSte';1.01115376725740e-07
'ARGCYSGLYr';0.224780084620405
'ARGCYSGLYt';0.224780084620405
'BILDGLCURtr';0
'BTNt4i';0
'BUTSMCT1';0.648345476552527
'C05463t2';0.119500536668889
'C10CRNtr';0
'C181CPT1';0
'C4CRNtr';0.875061049130862
'C4tmc';0
'C8DCtr';1
'CE1401te';1.01115376725740e-07
'CLPNDCOAtx';1
'CRMte';0
'CYOOm3i';2.58527982705949e-07
'CYSCYSr';0.473684604861777
'CYSCYSt';0.473684604861777
'Coqe';0
'DCMPtm';0
'DCMPtr';0
'DESAT18_10';1
'EX_1a25dhvitd3[e]';0
'EX_2pg[e]';0.413608348697076
'EX_3dhlchol[e]';0
'EX_CE1401[e]';1.01115376725740e-07
'EX_HC00900[e]';1.87204027757156e-07
'EX_HC02191[e]';0.0603014505924760
'EX_HC02192[e]';0.0602954981680526
'EX_HC02193[e]';6.10076409226365e-08
'EX_ahcys[e]';1.01115376725740e-07
'EX_ahdt[e]';0.221863522600147
'EX_argcysgly[e]';0.224780084620405
'EX_atp[e]';0.173620468473873
'EX_c4crn[e]';0.875061049130862
'EX_crm_hs[e]';0
'EX_cyscys[e]';0.473684604861777
'EX_dcmp[e]';0
'EX_fad[e]';0
'EX_fdp[e]';0.656195750980662
'EX_forglu[e]';0.504682341949621
'EX_fum[e]';1.87204028561773e-07
'EX_glcn[e]';0.438628096684378
'EX_glcur[e]';0
'EX_glyc3p[e]';0
'EX_glylyscys[e]';0
'EX_hxa[e]';2.98759928331748e-12
'EX_hxcoa[e]';0
'EX_lnlccrn[e]';1
'EX_lpchol_hs[e]';0
'EX_lysargleu[e]';0
'EX_mlthf[e]';9.09737387663737e-07
'EX_nh4[e]';0.417737446432482
'EX_nwharg[e]';0.224517857997706
'EX_ocdcea[e]';0
'EX_odecrn[e]';0
'EX_orot5p[e]';0
'EX_pail_hs[e]';0
'EX_pcreat[e]';1
'EX_pcrn[e]';0
'EX_pe_hs[e]';0
'EX_pep[e]';0.228765902050793
'EX_pglyc_hs[e]';0
'EX_ps_hs[e]';0
'EX_pser_L[e]';0
'EX_q10[e]';0
'EX_sphgn[e]';0
'EX_sphings[e]';8.96853538184561e-08
'EX_tdechola[e]';0.119500536668889
'EX_thbpt[e]';0
'EX_xmp[e]';0.898660315811283
'EX_xylu_D[e]';0.537695815204445
'FDPte';0.656195750980662
'FOLOAT2tc';0.213397101573806
'FOLt2';0.640248198049304
'FORGLUt';0.504682341949621
'FUMtr';1.87204028561773e-07
'G6PDH2c';0.438627953454238
'GLCNte';0.438628096684378
'GLCURtr';0
'GLCt2_2';0.924579650202879
'GLYC3tr';0
'GLYLYSCYSr';0
'GLYLYSCYSt';0
'HC00900t2';0.213397101573806
'HC00900t4';0.541235793700095
'HDCECRNtr';1
'HMR_0014';0
'HMR_0018';0
'HMR_0156';0.878009872111948
'HMR_0158';0
'HMR_0159';0.363324583688249
'HMR_0161';0
'HMR_0188';0
'HMR_0192';0
'HMR_0196';0
'HMR_0200';0
'HMR_0204';0
'HMR_0209';0
'HMR_0213';0
'HMR_0217';0
'HMR_0226';0
'HMR_0233';0
'HMR_0237';0
'HMR_0241';0
'HMR_0245';0
'HMR_0249';0
'HMR_0255';0
'HMR_0259';0
'HMR_0262';0
'HMR_0267';0
'HMR_0272';0
'HMR_0275';0
'HMR_0279';0
'HMR_0283';0
'HMR_0289';0
'HMR_0293';0
'HMR_0297';0
'HMR_0301';0
'HMR_0305';0
'HMR_0309';0
'HMR_0313';0
'HMR_0319';0
'HMR_0323';0
'HMR_0327';0
'HMR_0331';0
'HMR_0337';0
'HMR_0341';0
'HMR_0345';0
'HMR_0349';0
'HMR_0353';0
'HMR_0357';0
'HMR_0361';0
'HMR_0365';0
'HMR_0369';0
'HMR_0373';0
'HMR_0377';0
'HMR_0381';0
'HMR_0385';0
'HMR_0389';0
'HMR_0393';0
'HMR_0397';0
'HMR_0401';0
'HMR_0405';0
'HMR_0409';0
'HMR_0413';0
'HMR_0417';0
'HMR_0421';0
'HMR_0425';0
'HMR_0429';0
'HMR_0433';0
'HMR_0437';0
'HMR_0444';0
'HMR_0578';0
'HMR_0579';0
'HMR_0580';0
'HMR_0581';0
'HMR_0586';0
'HMR_0587';0
'HMR_0598';0
'HMR_0632';0
'HMR_0670';0
'HMR_0681';0
'HMR_0736';0
'HMR_0753';0
'HMR_0758';8.96853538184561e-08
'HMR_10023';0
'HMR_10024';0
'HMR_10033';0
'HMR_10036';0
'HMR_10046';0
'HMR_10047';0
'HMR_10062';0
'HMR_10063';0
'HMR_10064';0
'HMR_10065';0
'HMR_1832';0.119500536668889
'HMR_1834';0.119500536668889
'HMR_1835';0.119500536668889
'HMR_1841';0.0602954981680526
'HMR_1844';6.10076409226365e-08
'HMR_2127';0
'HMR_2129';0
'HMR_2130';0
'HMR_2131';0
'HMR_2132';0
'HMR_2133';0
'HMR_2134';0
'HMR_2135';0
'HMR_2136';0
'HMR_2137';0
'HMR_2139';0
'HMR_2141';0
'HMR_2142';0
'HMR_2143';0
'HMR_2144';0
'HMR_2145';0
'HMR_2591';0
'HMR_2593';0
'HMR_2594';0
'HMR_2636';1
'HMR_2742';1
'HMR_3215';1.87204028159464e-07
'HMR_3763';1.87204027958310e-07
'HMR_3789';1.87204027958310e-07
'HMR_3829';0
'HMR_3877';1.01115376725740e-07
'HMR_3899';0
'HMR_3920';1.01115376725740e-07
'HMR_3929';0.504682341949621
'HMR_3931';0
'HMR_3944';0.924579650202879
'HMR_3952';3.01350453260458e-07
'HMR_3953';0
'HMR_3956';0
'HMR_3959';0.984588839995872
'HMR_3960';0.984588839995872
'HMR_3968';0
'HMR_3970';0
'HMR_3972';0.735596072123834
'HMR_3980';0.905273230893892
'HMR_3982';2.58527981924655e-07
'HMR_4002';2.23859704166680e-08
'HMR_4004';0
'HMR_4006';0.444404097276563
'HMR_4012';0.230255010795246
'HMR_4020';0
'HMR_4026';0
'HMR_4030';0
'HMR_4032';0
'HMR_4063';0
'HMR_4083';0
'HMR_4085';0.550462028294751
'HMR_4116';0
'HMR_4122';0
'HMR_4131';0.924579650202872
'HMR_4135';1
'HMR_4137';0
'HMR_4139';0
'HMR_4141';0
'HMR_4145';0
'HMR_4147';1.87204028360619e-07
'HMR_4158';0
'HMR_4171';0.232728370523103
'HMR_4190';0.224517857997706
'HMR_4201';0.735596072123834
'HMR_4204';0
'HMR_4210';0.230255010795248
'HMR_4262';0
'HMR_4269';0
'HMR_4300';0
'HMR_4304';0
'HMR_4335';3.01350453130935e-07
'HMR_4350';1
'HMR_4352';0.610391608947706
'HMR_4355';0.467834522655234
'HMR_4363';0.289475962232213
'HMR_4365';0.705755642213153
'HMR_4368';0.705758890127154
'HMR_4371';0
'HMR_4373';0.705760956987957
'HMR_4375';0.445027316858240
'HMR_4381';0.228697553872227
'HMR_4388';1.14181038803178e-13
'HMR_4391';0.568533305504881
'HMR_4396';0.513914675039176
'HMR_4398';4.64948554783638e-07
'HMR_4404';0.710056217784247
'HMR_4410';0
'HMR_4418';0.338084006452825
'HMR_4420';0
'HMR_4421';0
'HMR_4452';0
'HMR_4456';0
'HMR_4476';0.438628096684378
'HMR_4480';0
'HMR_4484';0
'HMR_4485';0
'HMR_4501';0.710056217784247
'HMR_4512';0
'HMR_4514';0
'HMR_4565';0.527718430532274
'HMR_4568';0.467834522655234
'HMR_4573';0.232728370523106
'HMR_4575';0
'HMR_4577';0
'HMR_4579';2.35540316425098e-07
'HMR_4584';1
'HMR_4595';0.537695815204445
'HMR_4614';0
'HMR_4621';0
'HMR_4623';0
'HMR_4628';0
'HMR_4631';0
'HMR_4633';0
'HMR_4637';0
'HMR_4644';0
'HMR_4651';0
'HMR_4652';1.87204028360619e-07
'HMR_4655';0
'HMR_4656';3.01350453130935e-07
'HMR_4658';0.504682341949621
'HMR_4670';0
'HMR_4680';0
'HMR_4695';0
'HMR_4710';4.64948554783638e-07
'HMR_4760';0
'HMR_4765';0
'HMR_4767';0
'HMR_4843';1.87204028159464e-07
'HMR_4847';1.01115391744768e-07
'HMR_4848';0.338084006452825
'HMR_4852';0
'HMR_4854';1.87204028561773e-07
'HMR_4856';0
'HMR_4882';2.52925842856348e-07
'HMR_4883';0
'HMR_4885';0.638007723301650
'HMR_4888';2.77709035899055e-07
'HMR_4894';0
'HMR_4896';0.857563133218172
'HMR_4898';2.58527982720050e-07
'HMR_4926';0
'HMR_4947';2.63618875226773e-07
'HMR_4948';4.64948554783638e-07
'HMR_4957';1.87204028159464e-07
'HMR_4958';1
'HMR_4969';0
'HMR_4980';0
'HMR_4990';0.689350051472177
'HMR_4992';1
'HMR_5006';3.01350453130935e-07
'HMR_5031';0
'HMR_5032';1.01115304133810e-07
'HMR_5033';0
'HMR_5037';0
'HMR_5043';0
'HMR_5070';0
'HMR_5078';0
'HMR_5082';0
'HMR_5088';0
'HMR_5089';0
'HMR_5091';2.00552903931582e-10
'HMR_5092';0
'HMR_5127';0.662446104340153
'HMR_5130';0
'HMR_5131';0
'HMR_5132';0
'HMR_5133';0
'HMR_5134';0
