reaction	jaccardindex	KolmogorovSmirnow	KolmogorovSmirenow_pvalue	T - test_pvalue	Anova_pvalue	Wilcoxon_Mann_Whitney_pvalue	Mean	Std	Mode	Median	skew	kurt	Ttest_H	Ttest_pvalue	minFlux_brainmetastasis	minFlux_breastcancer	maxFlux_brainmetastasis	maxFlux_breastcancer	perc_brainmet/breastcancer	perc_breastcancer/brainmet
Acyl-CoA hydrolysis	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_0272	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
Acylglycerides metabolism	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_0670	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6019e-177	0.0014743__0.0016438	0.00043012__0.00054177	0.0032168__0	0.0014519__0.0016263	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	0.0012088	0.0013497	0.0017106	0.0019116	0.8928	1.1201
HMR_0681	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6019e-177	0.0014743__0.0016438	0.00043012__0.00054177	0.0032168__0	0.0014519__0.0016263	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	0.0012088	0.0013497	0.0017106	0.0019116	0.8928	1.1201
Alanine, aspartate and glutamate metabolism	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_3829	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6006e-177	-12.0578__-13.4441	3.5177__4.4309	-52.4013__0	-11.8747__-13.3006	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-13.9902	-15.6339	-9.8858	-11.0381	0.8928	1.1201
HMR_3899	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-15.921__-17.7514	4.6448__5.8505	-34.7372__0	-15.6792__-17.5619	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-18.4724	-20.6428	-13.0531	-14.5746	0.8928	1.1201
Amino sugar and nucleotide sugar metabolism	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_4158	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6022e-177	0.89536__0.9983	0.26121__0.32902	-1.5733e-12__0	0.88176__0.98764	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	0.73408	0.81964	1.0388	1.1609	0.8928	1.1201
HMR_4300	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6022e-177	0.89536__0.9983	0.26121__0.32902	-1.5733e-12__0	0.88176__0.98764	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	0.73408	0.81964	1.0388	1.1609	0.8928	1.1201
HMR_4628	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6022e-177	0.89536__0.9983	0.26121__0.32902	-1.5733e-12__0	0.88176__0.98764	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	0.73408	0.81964	1.0388	1.1609	0.8928	1.1201
HMR_4631	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6022e-177	0.89536__0.9983	0.26121__0.32902	-1.5733e-12__0	0.88176__0.98764	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	0.73408	0.81964	1.0388	1.1609	0.8928	1.1201
