reaction;jaccardindex;KolmogorovSmirnow;KolmogorovSmirenow_pvalue;T - test_pvalue;Anova_pvalue;Wilcoxon_Mann_Whitney_pvalue;Mean;Std;Mode;Median;skew;kurt;Ttest_H;Ttest_pvalue;minFlux_lungmetastasis;minFlux_brainmetastasis;maxFlux_lungmetastasis;maxFlux_brainmetastasis
Acyl-CoA hydrolysis;;;;;;;;;;;;;;;;;;;
HMR_0272;0.74313;-0.1132;0.14496;1,54E-43;1,54E-43;8,43E-42;0.10498__0.093087;0.059304__0.056514;0__3.2014e-05;0.10014__0.08853;0.6603__0.59916;3.7944__3.3823;1;1,54E-43;0.061293;0.049046;0.14178;0.904166667
Acylglycerides metabolism;;;;;;;;;;;;;;;;;;;
HMR_0670;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.00165__0.001451;0.00053898__0.00044759;0.00050436__-3.4198e-14;0.0016321__0.0014298;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.0013298;0.0011569;0.001922;0.0017151
HMR_0681;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.00165__0.001451;0.00053898__0.00044759;0.00050436__-3.4198e-14;0.0016321__0.0014298;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.0013298;0.0011569;0.001922;0.0017151
Alanine, aspartate and glutamate metabolism;;;;;;;;;;;;;;;;;;;
HMR_3829;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-13.4943__-11.8666;4.408__3.6606;-4.12486__-26.3083;-13.3479__-11.6935;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-157.186;-140.267;-108.754;-94.621
HMR_3899;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-17.8177__-15.6685;5.8203__4.8334;-5.44642__-34.7372;-17.6244__-15.44;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-207.546;-185.207;-143.597;-124.936
Amino sugar and nucleotide sugar metabolism;;;;;;;;;;;;;;;;;;;
HMR_4158;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;1.002__0.88116;0.32732__0.27182;0.30629__-2.0768e-11;0.99116__0.86831;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.80756;0.70261;11.672;10.416
HMR_4300;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;1.002__0.88116;0.32732__0.27182;0.30629__1.9535;0.99116__0.86831;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.80756;0.70261;11.672;10.416
HMR_4628;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;1.002__0.88116;0.32732__0.27182;0.30629__-2.0768e-11;0.99116__0.86831;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.80756;0.70261;11.672;10.416
HMR_4631;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;1.002__0.88116;0.32732__0.27182;0.30629__-2.0768e-11;0.99116__0.86831;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.80756;0.70261;11.672;10.416
Aminoacyl-tRNA biosynthesis;;;;;;;;;;;;;;;;;;;
