reaction	jaccardindex	KolmogorovSmirnow	KolmogorovSmirenow_pvalue	T - test_pvalue	Anova_pvalue	Wilcoxon_Mann_Whitney_pvalue	Mean	Std	Mode	Median	skew	kurt	Ttest_H	Ttest_pvalue	minFlux_lungmetastasis	minFlux_breastcancer	maxFlux_lungmetastasis	maxFlux_breastcancer	perc_brainmet/breastcancer	perc_breastcancer/brainmet
Acyl-CoA hydrolysis	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_0272	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
Acylglycerides metabolism	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_0670	0.79755	0.0806	0.14496	2.0684e-18	1.4785e-19	2.8817e-28	0.0015771__0.0016438	0.00050027__0.00054177	0__0	0.0015532__0.0016263	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	0.0012799	0.0013497	0.0018535	0.0019116	0.95508	0.95508
HMR_0681	0.79755	0.0806	0.14496	2.0684e-18	1.4785e-19	2.8817e-28	0.0015771__0.0016438	0.00050027__0.00054177	0__0	0.0015532__0.0016263	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	0.0012799	0.0013497	0.0018535	0.0019116	0.95508	0.95508
Alanine, aspartate and glutamate metabolism	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_3829	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8792e-28	-12.898__-13.4441	4.0914__4.4309	-56.8992__0	-12.7031__-13.3006	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-15.1588	-15.6339	-10.4673	-11.0381	0.95508	0.95508
HMR_3899	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-17.0303__-17.7514	5.4022__5.8505	-75.129__0	-16.773__-17.5619	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-20.0155	-20.6428	-13.8209	-14.5746	0.95508	0.95508
Amino sugar and nucleotide sugar metabolism	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_4158	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	0.95774__0.9983	0.30381__0.32902	-1.7494e-11__0	0.94328__0.98764	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	0.77725	0.81964	1.1256	1.1609	0.95508	0.95508
